# 3.14 FMA Instructions
# Table 31  FMA Instructions
# Intel/AMD Mnemonic			Description
VFNMADD231PD		Fused Negative Multiply-Add of Packed Double-Precision			
VFNMADD132PD		Fused Negative Multiply-Add of Packed Double-Precision
VFNMADD213PD		Fused Negative Multiply-Add of Packed Double-Precision
VFNMADD231PD		Fused Negative Multiply-Add of Packed Double-Precision			
VFNMADD132PD		Fused Negative Multiply-Add of Packed Double-Precision
VFNMADD213PD		Fused Negative Multiply-Add of Packed Double-Precision
VFNMADD231PD		Fused Negative Multiply-Add of Packed Double-Precision			
VFNMADD132PS		Fused Negative Multiply-Add of Packed Single-Precision
VFNMADD213PS		Fused Negative Multiply-Add of Packed Single-Precision
VFNMADD231PS		Fused Negative Multiply-Add of Packed Single-Precision			
VFNMADD132PS		Fused Negative Multiply-Add of Packed Single-Precision
VFNMADD213PS		Fused Negative Multiply-Add of Packed Single-Precision
VFNMADD231PS		Fused Negative Multiply-Add of Packed Single-Precision			
VFNMADD132PS		Fused Negative Multiply-Add of Packed Single-Precision
VFNMADD213PS		Fused Negative Multiply-Add of Packed Single-Precision
VFNMADD231PS		Fused Negative Multiply-Add of Packed Single-Precision			
VFNMADD132SD		Fused Negative Multiply-Add of Scalar Double-Precision
VFNMADD213SD		Fused Negative Multiply-Add of Scalar Double-Precision
VFNMADD231SD		Fused Negative Multiply-Add of Scalar Double-Precision			
VFNMADD132SD		Fused Negative Multiply-Add of Scalar Double-Precision
VFNMADD213SD		Fused Negative Multiply-Add of Scalar Double-Precision
VFNMADD231SD		Fused Negative Multiply-Add of Scalar Double-Precision			
VFNMADD132SD		Fused Negative Multiply-Add of Scalar Double-Precision
VFNMADD213SD		Fused Negative Multiply-Add of Scalar Double-Precision
VFNMADD231SD		Fused Negative Multiply-Add of Scalar Double-Precision			
VFNMADD132SS            Fused Negative Multiply-Add o
VFNMADD213SS            Fused Negative Multiply-Add o
VFNMADD231SS			Fused Negative Multiply-Add o			
VFNMADD132SS            Fused Negative Multiply-Add o
VFNMADD213SS            Fused Negative Multiply-Add o
VFNMADD231SS			Fused Negative Multiply-Add o			
VFNMADD132SS            Fused Negative Multiply-Add o
VFNMADD213SS            Fused Negative Multiply-Add o
VFNMADD231SS			Fused Negative Multiply-Add o			
VFNMSUB132PD            Fused Negative Multiply-Subtract of Packed Double- Precision Floating-Point Values
VFNMSUB213PD            Fused Negative Multiply-Subtract of Packed Double- Precision Floating-Point Values
VFNMSUB231PD			Fused Negative Multiply-Subtract of Packed Double- Precision Floating-Point Values			
VFNMSUB132PD            Fused Negative Multiply-Subtract of Packed Double- Precision Floating-Point Values
VFNMSUB213PD            Fused Negative Multiply-Subtract of Packed Double- Precision Floating-Point Values
