x11-libs/qwt: 249 files, 13 non-files, 2.0M 
app-misc/tracker-miners: 84 files, 27 non-files, 1.9M 
app-text/asciidoc: 272 files, 50 non-files, 1.9M 
dev-libs/libgee: 13 files, 12 non-files, 1.9M 
dev-python/pyelftools: 221 files, 25 non-files, 1.9M 
dev-tcltk/tix: 376 files, 29 non-files, 1.9M 
gnome-base/gnome-mime-data: 8 files, 8 non-files, 1.9M 
gnome-base/nautilus: 38 files, 34 non-files, 1.9M 
media-libs/libsdl: 423 files, 15 non-files, 1.9M 
net-misc/curl: 510 files, 13 non-files, 1.9M 
sys-apps/usbguard: 38 files, 23 non-files, 1.9M 
xfce-base/xfdesktop: 25 files, 26 non-files, 1.9M 
app-forensics/unhide: 10 files, 7 non-files, 1.8M 
dev-libs/appstream-glib: 59 files, 21 non-files, 1.8M 
dev-python/libvirt-python: 28 files, 9 non-files, 1.8M 
dev-python/pycparser: 75 files, 12 non-files, 1.8M 
dev-util/b2: 230 files, 17 non-files, 1.8M 
gnome-base/gvfs: 51 files, 28 non-files, 1.8M 
media-libs/x264: 11 files, 7 non-files, 1.8M 
net-libs/farstream: 93 files, 21 non-files, 1.8M 
net-libs/srt: 15 files, 9 non-files, 1.8M 
sys-libs/libselinux: 325 files (324 unique), 21 non-files, 1.8M 
sys-libs/readline: 35 files, 15 non-files, 1.8M 
sys-process/audit: 211 files (206 unique), 40 non-files, 1.8M 
app-arch/file-roller: 418 files, 96 non-files, 1.7M 
app-misc/ddcutil: 17 files, 14 non-files, 1.7M 
app-portage/eix: 32 files, 16 non-files, 1.7M 
dev-libs/libgcrypt: 22 files, 12 non-files, 1.7M 
dev-libs/libpcre: 189 files, 13 non-files, 1.7M 
dev-libs/libtomcrypt: 18 files, 7 non-files, 1.7M 
dev-libs/libunistring: 29 files, 7 non-files, 1.7M 
dev-python/html5lib: 138 files, 20 non-files, 1.7M 
dev-python/nbconvert: 341 files, 49 non-files, 1.7M 
media-fonts/fira-code: 12 files, 6 non-files, 1.7M 
media-libs/alsa-lib: 140 files, 17 non-files, 1.7M 
media-libs/freetype: 68 files, 11 non-files, 1.7M 
media-libs/taglib: 119 files, 9 non-files, 1.7M 
net-libs/libsoup: 50 files, 11 non-files, 1.7M 
sys-devel/automake: 123 files, 13 non-files, 1.7M 
sys-devel/bison: 42 files, 13 non-files, 1.7M 
sys-libs/libcap: 91 files, 17 non-files, 1.7M 
x11-libs/libX11: 29 files, 12 non-files, 1.7M 
app-admin/gkrellm: 21 files, 20 non-files, 1.6M 
app-crypt/yubikey-manager: 227 files, 27 non-files, 1.6M 
dev-python/fs: 234 files, 12 non-files, 1.6M 
dev-python/jinja: 107 files, 10 non-files, 1.6M 
dev-python/traitlets: 142 files, 21 non-files, 1.6M 
dev-util/uncrustify: 26 files, 8 non-files, 1.6M 
gui-libs/libhandy: 53 files, 12 non-files, 1.6M 
media-libs/dav1d: 14 files, 9 non-files, 1.6M 
sys-apps/busybox: 54 files, 19 non-files, 1.6M 
sys-apps/dbus: 81 files, 35 non-files, 1.6M 
sys-apps/gawk: 79 files, 18 non-files, 1.6M 
sys-block/open-iscsi: 102 files (101 unique), 24 non-files, 1.6M 
xfce-base/xfwm4: 760 files, 36 non-files, 1.6M 
app-arch/brotli: 24 files, 12 non-files, 1.5M 
app-crypt/tpm2-tools: 419 files, 7 non-files, 1.5M 
app-portage/portage-utils: 35 files, 7 non-files, 1.5M 
dev-python/jupyter_client: 245 files, 26 non-files, 1.5M 
dev-python/pybind11: 99 files, 28 non-files, 1.5M 
dev-python/snakeoil: 244 files, 24 non-files, 1.5M 
media-libs/fdk-aac: 11 files, 8 non-files, 1.5M 
media-libs/libsamplerate: 25 files, 7 non-files, 1.5M 
media-libs/qhull: 49 files, 15 non-files, 1.5M 
net-misc/remmina: 360 files, 55 non-files, 1.5M 
sys-apps/memtest86-bin: 3 files (2 unique), 7 non-files, 1.5M 
sys-libs/libblockdev: 71 files (70 unique), 21 non-files, 1.5M 
www-client/elinks: 68 files, 14 non-files, 1.5M 
xfce-base/exo: 64 files, 17 non-files, 1.5M 
dev-python/beautifulsoup4: 102 files, 14 non-files, 1.4M 
dev-python/black: 164 files, 21 non-files, 1.4M 
dev-python/fido2: 151 files, 16 non-files, 1.4M 
dev-python/ipykernel: 289 files, 28 non-files, 1.4M 
dev-qt/linguist-tools: 9 files, 6 non-files, 1.4M 
media-libs/imlib2: 63 files, 15 non-files, 1.4M 
media-libs/libcaca: 35 files, 11 non-files, 1.4M 
media-libs/libvorbis: 152 files, 13 non-files, 1.4M 
media-libs/openal: 29 files, 14 non-files, 1.4M 
net-analyzer/tcpdump: 9 files, 7 non-files, 1.4M 
net-libs/zeromq: 10 files, 8 non-files, 1.4M 
sys-block/thin-provisioning-tools: 41 files, 7 non-files, 1.4M 
sys-libs/libosinfo: 63 files, 16 non-files, 1.4M 
sys-libs/libsemanage: 151 files (150 unique), 19 non-files, 1.4M 
sys-process/btop: 32 files, 14 non-files, 1.4M 
app-admin/paxtest: 55 files, 9 non-files, 1.3M 
dev-libs/libinput: 88 files, 18 non-files, 1.3M 
dev-libs/libnl: 152 files, 24 non-files, 1.3M 
